SAMPNO,SUBDATE,Lead,Result (Pb),Copper,Result (Cu),ADDRESS,CITY,ZIP CODE,Site_Code,Service Line Material,Sample Location
LG13586,16-Feb-16,Lead,1,Copper,160,RASKOB  ,FLINT,48504,FS0359,Copper,KITCHEN
LG13597,16-Feb-16,Lead,8,Copper,0,FRANK ST ,FLINT,48504,FS0368,Galvanized,KITCHEN
LG13585,16-Feb-16,Lead,2,Copper,0,MT ELLIOTT AVE,FLINT,48504,FS0050,Unknown,KITCHEN
LG13587,16-Feb-16,Lead,1,Copper,0,MASON ST ,FLINT,48503,FS0381,Copper,BATHROOM
LG13588,16-Feb-16,Lead,0,Copper,0,W YORK AVE,FLINT,48505,FS0154,Copper,KITCHEN
LG13589,16-Feb-16,Lead,0,Copper,0,W CARPENTER RD,FLINT,48505,FS0002,Copper,KITCHEN
LG13590,16-Feb-16,Lead,0,Copper,0,W BUNDY AVE,FLINT,48505,FS0155,Copper,BATHROOM
LG13591,16-Feb-16,Lead,0,Copper,0,POLLY ST ,FLINT,48505,FS0001,Copper,KITCHEN
LG13592,16-Feb-16,Lead,15,Copper,280,W CARPENTER RD,FLINT,48505,FS0144,Unknown,KITCHEN
LG13593,16-Feb-16,Lead,0,Copper,0,ROBBIE LANE ,FLINT,48505,FS0156,Copper,BATHROOM
LG13594,16-Feb-16,Lead,26,Copper,0,MT ELLIOTT AVE,FLINT,48504,FS0046,Copper,KITCHEN
LG13595,16-Feb-16,Lead,2,Copper,70,CADDILAC ST ,FLINT,48504,FS0397,Copper,KITCHEN/BATHROOM
LG13596,16-Feb-16,Lead,0,Copper,0,WOODCROFT  ,FLINT,48503,FS0266,Copper,KITCHEN
LG13598,16-Feb-16,Lead,4,Copper,450,ANN ARBOR ST,FLINT,48503,FS0111,Copper,KITCHEN
LG13599,16-Feb-16,Lead,243,Copper,640,DICKENSON  ,FLINT,48504,FS0091,Copper,KITCHEN
LG13600,16-Feb-16,Lead,0,Copper,0,CHURCH  ,FLINT,48503,FS0396,Unknown,KITCHEN
LG13601,16-Feb-16,Lead,2,Copper,70,SWAYZE  ,FLINT,48503,FS0188,Copper,KITCHEN
LG13602,16-Feb-16,Lead,17,Copper,70,CHURCH ST ,FLINT,48502,FS0389,Unknown,BATHROOM
LG13603,16-Feb-16,Lead,0,Copper,190,WOODCROFT AVE ,FLINT,48503,FS0267,Copper,BATHROOM
